state_id,reading_date,battery_charged_mwh,battery_discharged_mwh,battery_storage_mwh
1,2025-02-01,0.12,0.11,12.51
1,2025-02-02,0.08,0.06,12.52
1,2025-02-03,0.07,0.05,12.53
1,2025-02-04,0.1,0.07,12.53
1,2025-02-05,0.14,0.11,12.53
1,2025-02-06,0.08,0.05,12.54
1,2025-02-07,0.1,0.06,12.54
1,2025-02-08,0.18,0.14,12.53
1,2025-02-09,0.17,0.13,12.54
1,2025-02-10,0.12,0.11,12.51
1,2025-02-11,0.11,0.09,12.53
1,2025-02-12,0.12,0.07,12.55
1,2025-02-13,0.15,0.11,12.54
1,2025-02-14,0.13,0.11,12.53
1,2025-02-15,0.16,0.12,12.54
1,2025-02-16,0.16,0.11,12.55
1,2025-02-17,0.08,0.06,12.52
1,2025-02-18,0.14,0.08,12.56
1,2025-02-19,0.11,0.08,12.53
1,2025-02-20,0.13,0.11,12.52
1,2025-02-21,0.13,0.09,12.54
1,2025-02-22,0.11,0.09,12.52
1,2025-02-23,0.15,0.1,12.55
1,2025-02-24,0.1,0.09,12.52
1,2025-02-25,0.18,0.13,12.55
1,2025-02-26,0.1,0.08,12.53
1,2025-02-27,0.12,0.07,12.55
1,2025-02-28,0.13,0.1,12.52
1,2025-03-01,0.11,0.08,12.53
1,2025-03-02,0.08,0.06,12.52
1,2025-03-03,0.1,0.05,12.54
1,2025-03-04,0.16,0.1,12.55
1,2025-03-05,0.18,0.11,12.56
1,2025-03-06,0.19,0.14,12.54
1,2025-03-07,0.12,0.08,12.54
1,2025-03-08,0.12,0.07,12.55
1,2025-03-09,0.2,0.16,12.54
1,2025-03-10,0.15,0.1,12.55
1,2025-03-11,0.14,0.11,12.53
1,2025-03-12,0.09,0.08,12.51
1,2025-03-13,0.04,0.03,12.51
1,2025-03-14,0.08,0.04,12.53
1,2025-03-15,0.07,0.05,12.52
1,2025-03-16,0.12,0.09,12.53
1,2025-03-17,0.17,0.11,12.56
1,2025-03-18,0.08,0.07,12.51
1,2025-03-19,0.21,0.12,12.59
1,2025-03-20,0.11,0.07,12.54
1,2025-03-21,0.09,0.05,12.54
1,2025-03-22,0.09,0.06,12.53
1,2025-03-23,0.2,0.12,12.58
1,2025-03-24,0.18,0.13,12.55
1,2025-03-25,0.17,0.12,12.54
1,2025-03-26,0.1,0.06,12.54
1,2025-03-27,0.12,0.08,12.53
1,2025-03-28,0.13,0.09,12.53
1,2025-03-29,0.11,0.09,12.52
1,2025-03-30,0.08,0.07,12.51
1,2025-03-31,0.17,0.13,12.54
2,2025-02-01,10.91,9.53,13.88
2,2025-02-02,20.44,16.7,16.23
2,2025-02-03,16.21,9.02,19.68
2,2025-02-04,29.8,25.77,19.11
2,2025-02-05,10.83,6.55,18.4
2,2025-02-06,21.94,16.65,26.1
2,2025-02-07,21.51,18.02,21.82
2,2025-02-08,18.03,11.48,19.05
2,2025-02-09,16.55,13.49,15.56
2,2025-02-10,11.2,6.32,17.39
2,2025-02-11,15.22,12.61,15.19
2,2025-02-12,14.61,10.45,16.67
2,2025-02-13,12.44,7.41,17.53
2,2025-02-14,17.72,11.84,18.37
2,2025-02-15,16.35,14.08,19.56
2,2025-02-16,16.87,12.24,17.12
2,2025-02-17,23.37,17.79,18.08
2,2025-02-18,19.25,12.74,19.0
2,2025-02-19,27.41,17.2,24.32
2,2025-02-20,15.64,10.72,17.42
2,2025-02-21,16.33,10.87,17.97
2,2025-02-22,14.92,10.38,17.04
2,2025-02-23,20.64,11.72,21.42
2,2025-02-24,12.92,8.6,16.82
2,2025-02-25,15.85,10.8,17.54
2,2025-02-26,13.48,8.95,17.02
2,2025-02-27,15.13,8.68,18.95
2,2025-02-28,28.72,22.67,19.35
2,2025-03-01,22.65,16.6,18.55
2,2025-03-02,21.74,16.58,17.66
2,2025-03-03,15.24,8.89,18.86
2,2025-03-04,48.77,43.03,27.04
2,2025-03-05,25.26,20.46,20.31
2,2025-03-06,20.59,14.23,19.5
2,2025-03-07,23.8,15.12,21.17
2,2025-03-08,14.33,11.54,16.8
2,2025-03-09,11.55,9.83,14.22
2,2025-03-10,22.72,14.13,21.09
2,2025-03-11,16.55,11.88,17.17
2,2025-03-12,26.91,16.48,22.93
2,2025-03-13,40.8,30.32,23.25
2,2025-03-14,22.54,18.36,23.82
2,2025-03-15,28.15,16.55,24.1
2,2025-03-16,27.97,22.62,22.63
2,2025-03-17,24.88,22.16,15.22
2,2025-03-18,34.95,22.77,29.33
2,2025-03-19,20.32,14.14,18.67
2,2025-03-20,21.07,14.52,19.05
2,2025-03-21,23.61,17.18,23.0
2,2025-03-22,21.13,12.0,22.85
2,2025-03-23,29.54,16.25,25.79
2,2025-03-24,17.66,14.7,16.24
2,2025-03-25,31.69,27.12,17.55
2,2025-03-26,32.82,28.76,16.56
2,2025-03-27,29.86,20.13,23.31
2,2025-03-28,29.28,19.89,25.02
2,2025-03-29,16.79,13.27,19.14
2,2025-03-30,27.5,21.06,24.18
2,2025-03-31,28.86,25.77,21.59
3,2025-02-01,9.9,6.63,15.76
3,2025-02-02,15.67,13.36,14.82
3,2025-02-03,12.36,9.79,15.07
3,2025-02-04,16.87,9.78,19.59
3,2025-02-05,13.31,11.79,14.02
3,2025-02-06,17.21,11.71,18.0
3,2025-02-07,8.55,5.52,15.53
3,2025-02-08,15.3,8.93,18.87
3,2025-02-09,13.55,10.93,15.11
3,2025-02-10,7.53,5.28,14.74
3,2025-02-11,9.05,7.23,14.32
3,2025-02-12,14.26,10.48,16.28
3,2025-02-13,5.74,3.24,14.99
3,2025-02-14,8.1,5.99,14.61
3,2025-02-15,14.72,8.95,18.27
3,2025-02-16,14.7,8.96,18.24
3,2025-02-17,8.57,6.18,14.89
3,2025-02-18,4.98,3.75,13.73
3,2025-02-19,8.23,7.09,13.64
3,2025-02-20,10.9,6.59,16.81
3,2025-02-21,12.57,9.04,16.03
3,2025-02-22,11.4,10.01,13.89
3,2025-02-23,10.74,6.63,16.62
3,2025-02-24,14.6,10.96,16.14
3,2025-02-25,9.46,5.96,16.0
3,2025-02-26,20.27,16.39,16.38
3,2025-02-27,17.02,14.97,14.55
3,2025-02-28,13.15,8.66,16.99
3,2025-03-01,15.44,9.64,18.3
3,2025-03-02,14.58,12.06,15.02
3,2025-03-03,10.68,8.57,14.61
3,2025-03-04,10.89,8.97,14.42
3,2025-03-05,13.5,11.65,14.35
3,2025-03-06,5.62,4.04,14.08
3,2025-03-07,6.57,4.57,14.51
3,2025-03-08,11.41,10.12,13.79
3,2025-03-09,13.61,11.23,14.88
3,2025-03-10,18.86,13.51,17.85
3,2025-03-11,11.96,9.74,14.72
3,2025-03-12,10.55,7.86,15.19
3,2025-03-13,5.47,3.57,14.4
3,2025-03-14,8.28,6.3,14.48
3,2025-03-15,13.29,7.39,18.4
3,2025-03-16,9.41,8.35,13.55
3,2025-03-17,10.16,8.37,14.29
3,2025-03-18,6.89,5.4,13.99
3,2025-03-19,8.17,5.41,15.26
3,2025-03-20,12.92,8.91,16.51
3,2025-03-21,11.76,10.46,13.8
3,2025-03-22,13.64,9.48,16.67
3,2025-03-23,5.01,3.91,13.6
3,2025-03-24,13.18,11.76,13.92
3,2025-03-25,5.27,3.63,14.14
3,2025-03-26,9.23,7.5,14.23
3,2025-03-27,5.44,3.81,14.12
3,2025-03-28,7.82,6.9,13.42
3,2025-03-29,12.1,10.25,14.35
3,2025-03-30,6.89,5.61,13.78
3,2025-03-31,6.67,4.1,15.07
4,2025-02-01,17.04,13.57,15.97
4,2025-02-02,30.8,25.71,22.59
4,2025-02-03,33.9,28.06,20.23
4,2025-02-04,26.24,21.71,20.51
4,2025-02-05,24.6,21.88,20.34
4,2025-02-06,17.13,10.94,24.48
4,2025-02-07,32.24,28.73,16.01
4,2025-02-08,16.2,13.41,21.04
4,2025-02-09,14.05,9.44,17.31
4,2025-02-10,19.57,16.57,17.91
4,2025-02-11,24.0,14.98,25.86
4,2025-02-12,31.92,20.27,29.42
4,2025-02-13,26.96,21.86,21.18
4,2025-02-14,25.4,20.35,17.55
4,2025-02-15,36.31,28.92,22.05
4,2025-02-16,21.52,13.56,25.99
4,2025-02-17,29.49,20.44,25.95
4,2025-02-18,23.18,17.61,18.06
4,2025-02-19,17.62,12.52,20.35
4,2025-02-20,38.22,24.34,33.21
4,2025-02-21,19.26,15.7,21.24
4,2025-02-22,31.81,24.39,22.36
4,2025-02-23,34.9,24.03,27.36
4,2025-02-24,32.02,25.33,25.6
4,2025-02-25,18.39,14.32,16.57
4,2025-02-26,17.51,14.4,16.43
4,2025-02-27,7.27,6.2,13.57
4,2025-02-28,28.86,24.83,19.12
4,2025-03-01,35.61,25.11,26.66
4,2025-03-02,32.9,28.15,24.18
4,2025-03-03,23.41,16.73,29.11
4,2025-03-04,21.72,13.38,25.65
4,2025-03-05,45.14,37.52,24.37
4,2025-03-06,42.72,28.79,33.19
4,2025-03-07,32.16,20.74,23.92
4,2025-03-08,39.29,27.14,31.67
4,2025-03-09,16.28,11.22,17.56
4,2025-03-10,21.19,13.87,23.34
4,2025-03-11,23.01,14.41,27.09
4,2025-03-12,13.84,12.29,20.11
4,2025-03-13,16.61,10.86,24.44
4,2025-03-14,28.69,16.89,25.67
4,2025-03-15,31.13,23.66,30.43
4,2025-03-16,17.75,10.6,20.45
4,2025-03-17,16.56,9.45,22.21
4,2025-03-18,43.45,38.49,26.68
4,2025-03-19,33.89,29.38,25.63
4,2025-03-20,28.61,23.52,19.97
4,2025-03-21,36.43,26.65,23.75
4,2025-03-22,24.03,15.89,21.56
4,2025-03-23,26.83,17.18,26.14
4,2025-03-24,45.19,31.54,26.82
4,2025-03-25,35.15,24.01,31.03
4,2025-03-26,38.93,34.03,23.12
4,2025-03-27,34.55,19.81,33.71
4,2025-03-28,18.53,12.48,27.46
4,2025-03-29,43.37,27.46,32.69
4,2025-03-30,34.88,21.68,27.04
4,2025-03-31,38.86,27.24,28.32
5,2025-02-01,7.51,6.31,13.71
5,2025-02-02,8.87,7.06,14.31
5,2025-02-03,8.88,6.27,15.11
5,2025-02-04,12.4,10.73,14.17
5,2025-02-05,6.47,5.83,13.15
5,2025-02-06,14.58,10.51,16.58
5,2025-02-07,8.36,5.69,15.17
5,2025-02-08,7.26,4.32,15.45
5,2025-02-09,12.05,10.09,14.46
5,2025-02-10,8.02,5.48,15.04
5,2025-02-11,8.87,6.69,14.69
5,2025-02-12,6.05,3.37,15.17
5,2025-02-13,15.04,13.42,14.11
5,2025-02-14,13.02,10.12,15.4
5,2025-02-15,6.7,4.85,14.34
5,2025-02-16,8.47,6.98,13.99
5,2025-02-17,15.06,12.09,15.47
5,2025-02-18,13.85,11.23,15.12
5,2025-02-19,7.59,6.19,13.9
5,2025-02-20,6.47,3.99,14.98
5,2025-02-21,14.35,10.78,16.07
5,2025-02-22,8.52,5.87,15.15
5,2025-02-23,5.67,4.64,13.53
5,2025-02-24,16.35,11.88,16.96
5,2025-02-25,15.74,12.58,15.66
5,2025-02-26,8.36,4.72,16.14
5,2025-02-27,16.4,10.22,18.68
5,2025-02-28,8.3,5.49,15.31
5,2025-03-01,7.2,5.19,14.51
5,2025-03-02,6.53,4.51,14.52
5,2025-03-03,7.69,6.45,13.73
5,2025-03-04,12.99,9.64,15.84
5,2025-03-05,11.48,8.65,15.33
5,2025-03-06,9.98,7.4,15.08
5,2025-03-07,11.76,8.01,16.25
5,2025-03-08,4.69,3.87,13.31
5,2025-03-09,14.09,10.35,16.25
5,2025-03-10,12.34,8.99,15.85
5,2025-03-11,9.41,7.64,14.27
5,2025-03-12,3.79,2.93,13.36
5,2025-03-13,12.99,9.64,15.85
5,2025-03-14,5.34,3.24,14.6
5,2025-03-15,6.23,4.71,14.03
5,2025-03-16,4.53,2.73,14.3
5,2025-03-17,3.92,3.02,13.4
5,2025-03-18,5.97,3.68,14.79
5,2025-03-19,7.92,6.05,14.38
5,2025-03-20,14.65,10.31,16.84
5,2025-03-21,10.32,6.46,16.36
5,2025-03-22,3.51,1.95,14.06
5,2025-03-23,8.08,7.01,13.57
5,2025-03-24,10.13,8.69,13.94
5,2025-03-25,8.14,6.06,14.58
5,2025-03-26,11.81,7.06,17.25
5,2025-03-27,9.96,7.42,15.04
5,2025-03-28,4.77,2.98,14.29
5,2025-03-29,7.34,5.81,14.03
5,2025-03-30,9.78,6.8,15.48
5,2025-03-31,5.9,3.3,15.1
6,2025-02-01,0.0,0.0,12.5
6,2025-02-02,0.0,0.0,12.5
6,2025-02-03,0.0,0.0,12.5
6,2025-02-04,0.0,0.0,12.5
6,2025-02-05,0.0,0.0,12.5
6,2025-02-06,0.0,0.0,12.5
6,2025-02-07,0.0,0.0,12.5
6,2025-02-08,0.0,0.0,12.5
6,2025-02-09,0.0,0.0,12.5
6,2025-02-10,0.0,0.0,12.5
6,2025-02-11,0.0,0.0,12.5
6,2025-02-12,0.0,0.0,12.5
6,2025-02-13,0.0,0.0,12.5
6,2025-02-14,0.0,0.0,12.5
6,2025-02-15,0.0,0.0,12.5
6,2025-02-16,0.0,0.0,12.5
6,2025-02-17,0.0,0.0,12.5
6,2025-02-18,0.0,0.0,12.5
6,2025-02-19,0.0,0.0,12.5
6,2025-02-20,0.0,0.0,12.5
6,2025-02-21,0.0,0.0,12.5
6,2025-02-22,0.0,0.0,12.5
6,2025-02-23,0.0,0.0,12.5
6,2025-02-24,0.0,0.0,12.5
6,2025-02-25,0.0,0.0,12.5
6,2025-02-26,0.0,0.0,12.5
6,2025-02-27,0.0,0.0,12.5
6,2025-02-28,0.0,0.0,12.5
6,2025-03-01,0.0,0.0,12.5
6,2025-03-02,0.0,0.0,12.5
6,2025-03-03,0.0,0.0,12.5
6,2025-03-04,0.0,0.0,12.5
6,2025-03-05,0.0,0.0,12.5
6,2025-03-06,0.0,0.0,12.5
6,2025-03-07,0.0,0.0,12.5
6,2025-03-08,0.0,0.0,12.5
6,2025-03-09,0.0,0.0,12.5
6,2025-03-10,0.0,0.0,12.5
6,2025-03-11,0.0,0.0,12.5
6,2025-03-12,0.0,0.0,12.5
6,2025-03-13,0.0,0.0,12.5
6,2025-03-14,0.0,0.0,12.5
6,2025-03-15,0.0,0.0,12.5
6,2025-03-16,0.0,0.0,12.5
6,2025-03-17,0.0,0.0,12.5
6,2025-03-18,0.0,0.0,12.5
6,2025-03-19,0.0,0.0,12.5
6,2025-03-20,0.0,0.0,12.5
6,2025-03-21,0.0,0.0,12.5
6,2025-03-22,0.18,0.15,12.53
6,2025-03-23,0.0,0.0,12.5
6,2025-03-24,0.0,0.0,12.5
6,2025-03-25,0.0,0.0,12.5
6,2025-03-26,0.0,0.0,12.5
6,2025-03-27,0.0,0.0,12.5
6,2025-03-28,0.0,0.0,12.5
6,2025-03-29,0.0,0.0,12.5
6,2025-03-30,0.0,0.0,12.5
6,2025-03-31,0.0,0.0,12.5
