state_id,reading_date,wind_energy_mwh,solar_energy_mwh,other_renewable_mwh,total_renewable_mwh
1,2025-02-01,0.0,0.61,0.0,0.61
1,2025-02-02,0.0,0.67,0.0,0.67
1,2025-02-03,0.0,0.5,0.0,0.5
1,2025-02-04,0.0,0.82,0.0,0.82
1,2025-02-05,0.0,0.79,0.0,0.79
1,2025-02-06,0.0,0.56,0.0,0.56
1,2025-02-07,0.0,0.71,0.0,0.71
1,2025-02-08,0.0,0.87,0.0,0.87
1,2025-02-09,0.0,0.92,0.0,0.92
1,2025-02-10,0.0,0.76,0.0,0.76
1,2025-02-11,0.0,0.52,0.0,0.52
1,2025-02-12,0.0,0.61,0.0,0.61
1,2025-02-13,0.0,0.77,0.0,0.77
1,2025-02-14,0.0,0.72,0.0,0.72
1,2025-02-15,0.0,0.97,0.0,0.97
1,2025-02-16,0.0,0.77,0.0,0.77
1,2025-02-17,0.0,0.89,0.0,0.89
1,2025-02-18,0.0,0.73,0.0,0.73
1,2025-02-19,0.0,0.92,0.0,0.92
1,2025-02-20,0.0,1.02,0.0,1.02
1,2025-02-21,0.0,0.92,0.0,0.92
1,2025-02-22,0.0,0.83,0.0,0.83
1,2025-02-23,0.0,0.75,0.0,0.75
1,2025-02-24,0.0,1.12,0.0,1.12
1,2025-02-25,0.0,1.03,0.0,1.03
1,2025-02-26,0.0,1.19,0.0,1.19
1,2025-02-27,0.0,1.12,0.0,1.12
1,2025-02-28,0.0,0.85,0.0,0.85
1,2025-03-01,0.0,0.54,0.0,0.54
1,2025-03-02,0.0,0.77,0.0,0.77
1,2025-03-03,0.0,1.06,0.0,1.06
1,2025-03-04,0.0,1.11,0.0,1.11
1,2025-03-05,0.0,1.0,0.0,1.0
1,2025-03-06,0.0,1.02,0.0,1.02
1,2025-03-07,0.0,1.02,0.0,1.02
1,2025-03-08,0.0,0.97,0.0,0.97
1,2025-03-09,0.0,0.98,0.0,0.98
1,2025-03-10,0.0,0.98,0.0,0.98
1,2025-03-11,0.0,0.84,0.0,0.84
1,2025-03-12,0.0,0.43,0.0,0.43
1,2025-03-13,0.0,0.43,0.0,0.43
1,2025-03-14,0.0,0.68,0.0,0.68
1,2025-03-15,0.0,0.79,0.0,0.79
1,2025-03-16,0.0,0.63,0.0,0.63
1,2025-03-17,0.0,1.0,0.0,1.0
1,2025-03-18,0.0,0.97,0.0,0.97
1,2025-03-19,0.0,0.96,0.0,0.96
1,2025-03-20,0.0,0.7,0.0,0.7
1,2025-03-21,0.0,0.56,0.0,0.56
1,2025-03-22,0.0,0.55,0.0,0.55
1,2025-03-23,0.0,1.01,0.0,1.01
1,2025-03-24,0.0,1.25,0.0,1.25
1,2025-03-25,0.0,1.25,0.0,1.25
1,2025-03-26,0.0,1.12,0.0,1.12
1,2025-03-27,0.0,0.89,0.0,0.89
1,2025-03-28,0.0,0.62,0.0,0.62
1,2025-03-29,0.0,0.66,0.0,0.66
1,2025-03-30,0.0,0.88,0.0,0.88
1,2025-03-31,0.0,0.91,0.0,0.91
2,2025-02-01,45.48,68.12,0.0,113.6
2,2025-02-02,44.74,67.48,0.0,112.22
2,2025-02-03,28.15,57.26,0.0,85.41
2,2025-02-04,74.04,65.4,0.2,139.64
2,2025-02-05,65.09,69.67,0.2,134.96
2,2025-02-06,142.83,69.64,0.0,212.47
2,2025-02-07,129.04,69.99,0.2,199.23
2,2025-02-08,50.79,68.1,0.0,118.89
2,2025-02-09,15.29,70.34,0.0,85.63
2,2025-02-10,24.05,73.76,0.1,97.91
2,2025-02-11,60.01,69.39,0.3,129.7
2,2025-02-12,46.09,67.85,0.4,114.34
2,2025-02-13,37.91,69.12,0.3,107.33
2,2025-02-14,39.7,70.64,0.3,110.64
2,2025-02-15,90.26,73.12,0.0,163.38
2,2025-02-16,69.67,71.88,0.0,141.55
2,2025-02-17,48.55,70.82,0.0,119.37
2,2025-02-18,57.58,70.04,0.2,127.82
2,2025-02-19,64.14,69.13,0.2,133.47
2,2025-02-20,44.66,71.52,0.3,116.48
2,2025-02-21,26.38,69.96,0.3,96.64
2,2025-02-22,27.2,77.09,0.1,104.39
2,2025-02-23,30.09,77.87,0.1,108.06
2,2025-02-24,32.67,74.83,0.1,107.6
2,2025-02-25,36.84,61.51,0.3,98.65
2,2025-02-26,27.48,71.03,0.3,98.81
2,2025-02-27,37.2,69.32,0.2,106.72
2,2025-02-28,61.54,69.44,0.2,131.18
2,2025-03-01,60.89,79.02,0.4,140.31
2,2025-03-02,52.03,79.95,0.4,132.38
2,2025-03-03,60.42,77.73,0.1,138.25
2,2025-03-04,154.22,82.99,0.3,237.51
2,2025-03-05,139.89,84.15,0.3,224.34
2,2025-03-06,40.12,88.79,0.3,129.21
2,2025-03-07,42.47,85.92,0.3,128.69
2,2025-03-08,44.09,83.23,0.1,127.42
2,2025-03-09,34.8,84.7,0.3,119.8
2,2025-03-10,29.04,82.39,0.1,111.53
2,2025-03-11,37.36,80.46,0.3,118.12
2,2025-03-12,56.67,81.2,0.2,138.07
2,2025-03-13,100.46,90.18,0.2,190.84
2,2025-03-14,98.25,83.92,0.2,182.37
2,2025-03-15,54.39,80.36,0.0,134.75
2,2025-03-16,65.86,88.43,0.0,154.29
2,2025-03-17,63.97,88.7,0.0,152.67
2,2025-03-18,75.68,89.48,0.2,165.36
2,2025-03-19,77.35,90.31,0.2,167.86
2,2025-03-20,70.0,86.88,0.2,157.08
2,2025-03-21,64.6,89.05,0.2,153.85
2,2025-03-22,68.27,90.61,0.0,158.88
2,2025-03-23,55.48,91.11,0.0,146.59
2,2025-03-24,59.24,89.25,0.0,148.49
2,2025-03-25,72.61,89.4,0.0,162.01
2,2025-03-26,65.59,89.04,0.0,154.63
2,2025-03-27,61.08,92.97,0.0,154.05
2,2025-03-28,73.2,92.06,0.0,165.26
2,2025-03-29,96.68,88.84,0.0,185.52
2,2025-03-30,67.62,98.74,0.0,166.36
2,2025-03-31,78.24,94.56,0.0,172.8
3,2025-02-01,10.24,53.37,0.0,63.61
3,2025-02-02,17.93,55.19,13.36,86.48
3,2025-02-03,21.94,55.51,13.52,90.97
3,2025-02-04,22.95,54.95,13.78,91.68
3,2025-02-05,15.39,52.48,13.74,81.61
3,2025-02-06,26.75,53.03,13.42,93.2
3,2025-02-07,28.93,54.55,12.36,95.84
3,2025-02-08,25.42,52.64,12.64,90.7
3,2025-02-09,22.67,50.28,12.82,85.77
3,2025-02-10,19.34,53.61,11.88,84.83
3,2025-02-11,15.92,49.1,11.21,76.23
3,2025-02-12,10.99,54.33,11.83,77.15
3,2025-02-13,10.33,53.58,13.07,76.98
3,2025-02-14,9.17,53.92,12.18,75.27
3,2025-02-15,14.32,53.49,12.89,80.7
3,2025-02-16,15.48,54.39,12.56,82.43
